Rationales_metrics,gradients,attention,random,lime,scaled attention,deeplift,Domain,thresholder,seed
Sufficiency,0.9426627201406841,0.9452548416159811,0.955871746550713,0.9515577209766881,0.9732188660048221,0.9705405699139511,InDomain,topk,5
Comprehensiveness,0.271791575060275,0.246860006830551,0.214714374462829,0.128941304462064,0.529463725803454,0.252807739205304,InDomain,topk,5
AOPC_sufficiency,0.746008339930185,0.751391473520284,0.7532323721949651,0.730604161143931,0.7791731893293191,0.769725792452237,InDomain,topk,5
AOPC_comprehensiveness,0.167120915462825,0.17842072362011402,0.15172180942444702,0.10969175687231,0.364038885673646,0.14164895605267502,InDomain,topk,5
Sufficiency,0.9426627201406841,0.9452548416159811,0.955871746550713,0.9515577209766881,0.9732188660048221,0.9705405699139511,OOD1,topk,5
Comprehensiveness,0.271791575060275,0.246860006830551,0.214714374462829,0.128941304462064,0.529463725803454,0.252807739205304,OOD1,topk,5
AOPC_sufficiency,0.746008339930185,0.751391473520284,0.7532323721949651,0.730604161143931,0.7791731893293191,0.769725792452237,OOD1,topk,5
AOPC_comprehensiveness,0.167120915462825,0.17842072362011402,0.15172180942444702,0.10969175687231,0.364038885673646,0.14164895605267502,OOD1,topk,5
Sufficiency,0.9426627201406841,0.9452548416159811,0.955871746550713,0.9515577209766881,0.9732188660048221,0.9705405699139511,OOD2,topk,5
Comprehensiveness,0.271791575060275,0.246860006830551,0.214714374462829,0.128941304462064,0.529463725803454,0.252807739205304,OOD2,topk,5
AOPC_sufficiency,0.746008339930185,0.751391473520284,0.7532323721949651,0.730604161143931,0.7791731893293191,0.769725792452237,OOD2,topk,5
AOPC_comprehensiveness,0.167120915462825,0.17842072362011402,0.15172180942444702,0.10969175687231,0.364038885673646,0.14164895605267502,OOD2,topk,5
Sufficiency,0.9586803985973701,0.9512260538522391,0.9453498409527651,0.9428414660378641,0.9683441475752991,0.9586771155812631,InDomain,contigious,5
Comprehensiveness,0.20147880998574802,0.181614226377275,0.162018311175498,0.12233518970555901,0.35041448629409505,0.14482446851327002,InDomain,contigious,5
AOPC_sufficiency,0.760739805707049,0.753297239085283,0.7521468398197121,0.7398317490418591,0.7725883351395111,0.7590656360134741,InDomain,contigious,5
AOPC_comprehensiveness,0.14647681532717702,0.149172685572208,0.139960819859326,0.102290968797017,0.26951387051339704,0.089798421572996,InDomain,contigious,5
Sufficiency,0.9586803985973701,0.9512260538522391,0.9453498409527651,0.9428414660378641,0.9683441475752991,0.9586771155812631,OOD1,contigious,5
Comprehensiveness,0.20147880998574802,0.181614226377275,0.162018311175498,0.12233518970555901,0.35041448629409505,0.14482446851327002,OOD1,contigious,5
AOPC_sufficiency,0.760739805707049,0.753297239085283,0.7521468398197121,0.7398317490418591,0.7725883351395111,0.7590656360134741,OOD1,contigious,5
AOPC_comprehensiveness,0.14647681532717702,0.149172685572208,0.139960819859326,0.102290968797017,0.26951387051339704,0.089798421572996,OOD1,contigious,5
Sufficiency,0.9586803985973701,0.9512260538522391,0.9453498409527651,0.9428414660378641,0.9683441475752991,0.9586771155812631,OOD2,contigious,5
Comprehensiveness,0.20147880998574802,0.181614226377275,0.162018311175498,0.12233518970555901,0.35041448629409505,0.14482446851327002,OOD2,contigious,5
AOPC_sufficiency,0.760739805707049,0.753297239085283,0.7521468398197121,0.7398317490418591,0.7725883351395111,0.7590656360134741,OOD2,contigious,5
AOPC_comprehensiveness,0.14647681532717702,0.149172685572208,0.139960819859326,0.102290968797017,0.26951387051339704,0.089798421572996,OOD2,contigious,5
Sufficiency,0.9426627201406841,0.9452548416159811,0.955871746550713,0.9515577209766881,0.9732188660048221,0.9705405699139511,InDomain,topk,10
Comprehensiveness,0.271791575060275,0.246860006830551,0.214714374462829,0.128941304462064,0.529463725803454,0.252807739205304,InDomain,topk,10
AOPC_sufficiency,0.746008339930185,0.751391473520284,0.7532323721949651,0.730604161143931,0.7791731893293191,0.769725792452237,InDomain,topk,10
AOPC_comprehensiveness,0.167120915462825,0.17842072362011402,0.15172180942444702,0.10969175687231,0.364038885673646,0.14164895605267502,InDomain,topk,10
Sufficiency,0.9426627201406841,0.9452548416159811,0.955871746550713,0.9515577209766881,0.9732188660048221,0.9705405699139511,OOD1,topk,10
Comprehensiveness,0.271791575060275,0.246860006830551,0.214714374462829,0.128941304462064,0.529463725803454,0.252807739205304,OOD1,topk,10
AOPC_sufficiency,0.746008339930185,0.751391473520284,0.7532323721949651,0.730604161143931,0.7791731893293191,0.769725792452237,OOD1,topk,10
AOPC_comprehensiveness,0.167120915462825,0.17842072362011402,0.15172180942444702,0.10969175687231,0.364038885673646,0.14164895605267502,OOD1,topk,10
Sufficiency,0.9426627201406841,0.9452548416159811,0.955871746550713,0.9515577209766881,0.9732188660048221,0.9705405699139511,OOD2,topk,10
Comprehensiveness,0.271791575060275,0.246860006830551,0.214714374462829,0.128941304462064,0.529463725803454,0.252807739205304,OOD2,topk,10
AOPC_sufficiency,0.746008339930185,0.751391473520284,0.7532323721949651,0.730604161143931,0.7791731893293191,0.769725792452237,OOD2,topk,10
AOPC_comprehensiveness,0.167120915462825,0.17842072362011402,0.15172180942444702,0.10969175687231,0.364038885673646,0.14164895605267502,OOD2,topk,10
Sufficiency,0.9586803985973701,0.9512260538522391,0.9453498409527651,0.9428414660378641,0.9683441475752991,0.9586771155812631,InDomain,contigious,10
Comprehensiveness,0.20147880998574802,0.181614226377275,0.162018311175498,0.12233518970555901,0.35041448629409505,0.14482446851327002,InDomain,contigious,10
AOPC_sufficiency,0.760739805707049,0.753297239085283,0.7521468398197121,0.7398317490418591,0.7725883351395111,0.7590656360134741,InDomain,contigious,10
AOPC_comprehensiveness,0.14647681532717702,0.149172685572208,0.139960819859326,0.102290968797017,0.26951387051339704,0.089798421572996,InDomain,contigious,10
Sufficiency,0.9586803985973701,0.9512260538522391,0.9453498409527651,0.9428414660378641,0.9683441475752991,0.9586771155812631,OOD1,contigious,10
Comprehensiveness,0.20147880998574802,0.181614226377275,0.162018311175498,0.12233518970555901,0.35041448629409505,0.14482446851327002,OOD1,contigious,10
AOPC_sufficiency,0.760739805707049,0.753297239085283,0.7521468398197121,0.7398317490418591,0.7725883351395111,0.7590656360134741,OOD1,contigious,10
AOPC_comprehensiveness,0.14647681532717702,0.149172685572208,0.139960819859326,0.102290968797017,0.26951387051339704,0.089798421572996,OOD1,contigious,10
Sufficiency,0.9586803985973701,0.9512260538522391,0.9453498409527651,0.9428414660378641,0.9683441475752991,0.9586771155812631,OOD2,contigious,10
Comprehensiveness,0.20147880998574802,0.181614226377275,0.162018311175498,0.12233518970555901,0.35041448629409505,0.14482446851327002,OOD2,contigious,10
AOPC_sufficiency,0.760739805707049,0.753297239085283,0.7521468398197121,0.7398317490418591,0.7725883351395111,0.7590656360134741,OOD2,contigious,10
AOPC_comprehensiveness,0.14647681532717702,0.149172685572208,0.139960819859326,0.102290968797017,0.26951387051339704,0.089798421572996,OOD2,contigious,10
Sufficiency,0.9426627201406841,0.9452548416159811,0.955871746550713,0.9515577209766881,0.9732188660048221,0.9705405699139511,InDomain,topk,15
Comprehensiveness,0.271791575060275,0.246860006830551,0.214714374462829,0.128941304462064,0.529463725803454,0.252807739205304,InDomain,topk,15
AOPC_sufficiency,0.746008339930185,0.751391473520284,0.7532323721949651,0.730604161143931,0.7791731893293191,0.769725792452237,InDomain,topk,15
AOPC_comprehensiveness,0.167120915462825,0.17842072362011402,0.15172180942444702,0.10969175687231,0.364038885673646,0.14164895605267502,InDomain,topk,15
Sufficiency,0.9426627201406841,0.9452548416159811,0.955871746550713,0.9515577209766881,0.9732188660048221,0.9705405699139511,OOD1,topk,15
Comprehensiveness,0.271791575060275,0.246860006830551,0.214714374462829,0.128941304462064,0.529463725803454,0.252807739205304,OOD1,topk,15
AOPC_sufficiency,0.746008339930185,0.751391473520284,0.7532323721949651,0.730604161143931,0.7791731893293191,0.769725792452237,OOD1,topk,15
AOPC_comprehensiveness,0.167120915462825,0.17842072362011402,0.15172180942444702,0.10969175687231,0.364038885673646,0.14164895605267502,OOD1,topk,15
Sufficiency,0.9426627201406841,0.9452548416159811,0.955871746550713,0.9515577209766881,0.9732188660048221,0.9705405699139511,OOD2,topk,15
Comprehensiveness,0.271791575060275,0.246860006830551,0.214714374462829,0.128941304462064,0.529463725803454,0.252807739205304,OOD2,topk,15
AOPC_sufficiency,0.746008339930185,0.751391473520284,0.7532323721949651,0.730604161143931,0.7791731893293191,0.769725792452237,OOD2,topk,15
AOPC_comprehensiveness,0.167120915462825,0.17842072362011402,0.15172180942444702,0.10969175687231,0.364038885673646,0.14164895605267502,OOD2,topk,15
Sufficiency,0.9586803985973701,0.9512260538522391,0.9453498409527651,0.9428414660378641,0.9683441475752991,0.9586771155812631,InDomain,contigious,15
Comprehensiveness,0.20147880998574802,0.181614226377275,0.162018311175498,0.12233518970555901,0.35041448629409505,0.14482446851327002,InDomain,contigious,15
AOPC_sufficiency,0.760739805707049,0.753297239085283,0.7521468398197121,0.7398317490418591,0.7725883351395111,0.7590656360134741,InDomain,contigious,15
AOPC_comprehensiveness,0.14647681532717702,0.149172685572208,0.139960819859326,0.102290968797017,0.26951387051339704,0.089798421572996,InDomain,contigious,15
Sufficiency,0.9586803985973701,0.9512260538522391,0.9453498409527651,0.9428414660378641,0.9683441475752991,0.9586771155812631,OOD1,contigious,15
Comprehensiveness,0.20147880998574802,0.181614226377275,0.162018311175498,0.12233518970555901,0.35041448629409505,0.14482446851327002,OOD1,contigious,15
AOPC_sufficiency,0.760739805707049,0.753297239085283,0.7521468398197121,0.7398317490418591,0.7725883351395111,0.7590656360134741,OOD1,contigious,15
AOPC_comprehensiveness,0.14647681532717702,0.149172685572208,0.139960819859326,0.102290968797017,0.26951387051339704,0.089798421572996,OOD1,contigious,15
Sufficiency,0.9586803985973701,0.9512260538522391,0.9453498409527651,0.9428414660378641,0.9683441475752991,0.9586771155812631,OOD2,contigious,15
Comprehensiveness,0.20147880998574802,0.181614226377275,0.162018311175498,0.12233518970555901,0.35041448629409505,0.14482446851327002,OOD2,contigious,15
AOPC_sufficiency,0.760739805707049,0.753297239085283,0.7521468398197121,0.7398317490418591,0.7725883351395111,0.7590656360134741,OOD2,contigious,15
AOPC_comprehensiveness,0.14647681532717702,0.149172685572208,0.139960819859326,0.102290968797017,0.26951387051339704,0.089798421572996,OOD2,contigious,15
Sufficiency,0.9426627201406841,0.9452548416159811,0.955871746550713,0.9515577209766881,0.9732188660048221,0.9705405699139511,InDomain,topk,20
Comprehensiveness,0.271791575060275,0.246860006830551,0.214714374462829,0.128941304462064,0.529463725803454,0.252807739205304,InDomain,topk,20
AOPC_sufficiency,0.746008339930185,0.751391473520284,0.7532323721949651,0.730604161143931,0.7791731893293191,0.769725792452237,InDomain,topk,20
AOPC_comprehensiveness,0.167120915462825,0.17842072362011402,0.15172180942444702,0.10969175687231,0.364038885673646,0.14164895605267502,InDomain,topk,20
Sufficiency,0.9426627201406841,0.9452548416159811,0.955871746550713,0.9515577209766881,0.9732188660048221,0.9705405699139511,OOD1,topk,20
Comprehensiveness,0.271791575060275,0.246860006830551,0.214714374462829,0.128941304462064,0.529463725803454,0.252807739205304,OOD1,topk,20
AOPC_sufficiency,0.746008339930185,0.751391473520284,0.7532323721949651,0.730604161143931,0.7791731893293191,0.769725792452237,OOD1,topk,20
AOPC_comprehensiveness,0.167120915462825,0.17842072362011402,0.15172180942444702,0.10969175687231,0.364038885673646,0.14164895605267502,OOD1,topk,20
Sufficiency,0.9426627201406841,0.9452548416159811,0.955871746550713,0.9515577209766881,0.9732188660048221,0.9705405699139511,OOD2,topk,20
Comprehensiveness,0.271791575060275,0.246860006830551,0.214714374462829,0.128941304462064,0.529463725803454,0.252807739205304,OOD2,topk,20
AOPC_sufficiency,0.746008339930185,0.751391473520284,0.7532323721949651,0.730604161143931,0.7791731893293191,0.769725792452237,OOD2,topk,20
AOPC_comprehensiveness,0.167120915462825,0.17842072362011402,0.15172180942444702,0.10969175687231,0.364038885673646,0.14164895605267502,OOD2,topk,20
Sufficiency,0.9586803985973701,0.9512260538522391,0.9453498409527651,0.9428414660378641,0.9683441475752991,0.9586771155812631,InDomain,contigious,20
Comprehensiveness,0.20147880998574802,0.181614226377275,0.162018311175498,0.12233518970555901,0.35041448629409505,0.14482446851327002,InDomain,contigious,20
AOPC_sufficiency,0.760739805707049,0.753297239085283,0.7521468398197121,0.7398317490418591,0.7725883351395111,0.7590656360134741,InDomain,contigious,20
AOPC_comprehensiveness,0.14647681532717702,0.149172685572208,0.139960819859326,0.102290968797017,0.26951387051339704,0.089798421572996,InDomain,contigious,20
Sufficiency,0.9586803985973701,0.9512260538522391,0.9453498409527651,0.9428414660378641,0.9683441475752991,0.9586771155812631,OOD1,contigious,20
Comprehensiveness,0.20147880998574802,0.181614226377275,0.162018311175498,0.12233518970555901,0.35041448629409505,0.14482446851327002,OOD1,contigious,20
AOPC_sufficiency,0.760739805707049,0.753297239085283,0.7521468398197121,0.7398317490418591,0.7725883351395111,0.7590656360134741,OOD1,contigious,20
AOPC_comprehensiveness,0.14647681532717702,0.149172685572208,0.139960819859326,0.102290968797017,0.26951387051339704,0.089798421572996,OOD1,contigious,20
Sufficiency,0.9586803985973701,0.9512260538522391,0.9453498409527651,0.9428414660378641,0.9683441475752991,0.9586771155812631,OOD2,contigious,20
Comprehensiveness,0.20147880998574802,0.181614226377275,0.162018311175498,0.12233518970555901,0.35041448629409505,0.14482446851327002,OOD2,contigious,20
AOPC_sufficiency,0.760739805707049,0.753297239085283,0.7521468398197121,0.7398317490418591,0.7725883351395111,0.7590656360134741,OOD2,contigious,20
AOPC_comprehensiveness,0.14647681532717702,0.149172685572208,0.139960819859326,0.102290968797017,0.26951387051339704,0.089798421572996,OOD2,contigious,20
Sufficiency,0.9426627201406841,0.9452548416159811,0.955871746550713,0.9515577209766881,0.9732188660048221,0.9705405699139511,InDomain,topk,25
Comprehensiveness,0.271791575060275,0.246860006830551,0.214714374462829,0.128941304462064,0.529463725803454,0.252807739205304,InDomain,topk,25
AOPC_sufficiency,0.746008339930185,0.751391473520284,0.7532323721949651,0.730604161143931,0.7791731893293191,0.769725792452237,InDomain,topk,25
AOPC_comprehensiveness,0.167120915462825,0.17842072362011402,0.15172180942444702,0.10969175687231,0.364038885673646,0.14164895605267502,InDomain,topk,25
Sufficiency,0.9426627201406841,0.9452548416159811,0.955871746550713,0.9515577209766881,0.9732188660048221,0.9705405699139511,OOD1,topk,25
Comprehensiveness,0.271791575060275,0.246860006830551,0.214714374462829,0.128941304462064,0.529463725803454,0.252807739205304,OOD1,topk,25
AOPC_sufficiency,0.746008339930185,0.751391473520284,0.7532323721949651,0.730604161143931,0.7791731893293191,0.769725792452237,OOD1,topk,25
AOPC_comprehensiveness,0.167120915462825,0.17842072362011402,0.15172180942444702,0.10969175687231,0.364038885673646,0.14164895605267502,OOD1,topk,25
Sufficiency,0.9426627201406841,0.9452548416159811,0.955871746550713,0.9515577209766881,0.9732188660048221,0.9705405699139511,OOD2,topk,25
Comprehensiveness,0.271791575060275,0.246860006830551,0.214714374462829,0.128941304462064,0.529463725803454,0.252807739205304,OOD2,topk,25
AOPC_sufficiency,0.746008339930185,0.751391473520284,0.7532323721949651,0.730604161143931,0.7791731893293191,0.769725792452237,OOD2,topk,25
AOPC_comprehensiveness,0.167120915462825,0.17842072362011402,0.15172180942444702,0.10969175687231,0.364038885673646,0.14164895605267502,OOD2,topk,25
Sufficiency,0.9586803985973701,0.9512260538522391,0.9453498409527651,0.9428414660378641,0.9683441475752991,0.9586771155812631,InDomain,contigious,25
Comprehensiveness,0.20147880998574802,0.181614226377275,0.162018311175498,0.12233518970555901,0.35041448629409505,0.14482446851327002,InDomain,contigious,25
AOPC_sufficiency,0.760739805707049,0.753297239085283,0.7521468398197121,0.7398317490418591,0.7725883351395111,0.7590656360134741,InDomain,contigious,25
AOPC_comprehensiveness,0.14647681532717702,0.149172685572208,0.139960819859326,0.102290968797017,0.26951387051339704,0.089798421572996,InDomain,contigious,25
Sufficiency,0.9586803985973701,0.9512260538522391,0.9453498409527651,0.9428414660378641,0.9683441475752991,0.9586771155812631,OOD1,contigious,25
Comprehensiveness,0.20147880998574802,0.181614226377275,0.162018311175498,0.12233518970555901,0.35041448629409505,0.14482446851327002,OOD1,contigious,25
AOPC_sufficiency,0.760739805707049,0.753297239085283,0.7521468398197121,0.7398317490418591,0.7725883351395111,0.7590656360134741,OOD1,contigious,25
AOPC_comprehensiveness,0.14647681532717702,0.149172685572208,0.139960819859326,0.102290968797017,0.26951387051339704,0.089798421572996,OOD1,contigious,25
Sufficiency,0.9586803985973701,0.9512260538522391,0.9453498409527651,0.9428414660378641,0.9683441475752991,0.9586771155812631,OOD2,contigious,25
Comprehensiveness,0.20147880998574802,0.181614226377275,0.162018311175498,0.12233518970555901,0.35041448629409505,0.14482446851327002,OOD2,contigious,25
AOPC_sufficiency,0.760739805707049,0.753297239085283,0.7521468398197121,0.7398317490418591,0.7725883351395111,0.7590656360134741,OOD2,contigious,25
AOPC_comprehensiveness,0.14647681532717702,0.149172685572208,0.139960819859326,0.102290968797017,0.26951387051339704,0.089798421572996,OOD2,contigious,25
