,Rationales_metrics,deepliftshap,attention,random,scaled attention,gradientshap,gradients,lime,ig,deeplift,Domain,thresholder,mean-f1,Task
0,Sufficiency,0.137786039385215,0.298275259050923,0.13795341167866,0.5984550511031961,0.132468691221419,0.27955202988996,0.161224911430697,0.261050930293482,0.156102893867733,Full size,topk,0.613659500579893,Yelp
1,Comprehensiveness,0.296660431616349,0.510102010585885,0.281685974313277,0.7533949172922081,0.282955183340718,0.505627888820098,0.221441498457267,0.504293702874511,0.296145398686267,Full size,topk,0.613659500579893,Yelp
2,AOPC_sufficiency,0.153491782069191,0.258231648117494,0.149287371645867,0.385820492334494,0.147286156820664,0.242406361170915,0.144581164726382,0.238949179355415,0.173447082675949,Full size,topk,0.613659500579893,Yelp
3,AOPC_comprehensiveness,0.238838884151156,0.357073649602169,0.228253531806036,0.518198138889806,0.231484925420267,0.374595399398381,0.174553149520573,0.366970219304439,0.257455216389443,Full size,topk,0.613659500579893,Yelp
4,Sufficiency,0.137786039385215,0.298275259050923,0.13795341167866,0.5984550511031961,0.132468691221419,0.27955202988996,0.161224911430697,0.261050930293482,0.156102893867733,Full size,contigious,0.613659500579893,Yelp
5,Comprehensiveness,0.296660431616349,0.510102010585885,0.281685974313277,0.7533949172922081,0.282955183340718,0.505627888820098,0.221441498457267,0.504293702874511,0.296145398686267,Full size,contigious,0.613659500579893,Yelp
6,AOPC_sufficiency,0.153491782069191,0.258231648117494,0.149287371645867,0.385820492334494,0.147286156820664,0.242406361170915,0.144581164726382,0.238949179355415,0.173447082675949,Full size,contigious,0.613659500579893,Yelp
7,AOPC_comprehensiveness,0.238838884151156,0.357073649602169,0.228253531806036,0.518198138889806,0.231484925420267,0.374595399398381,0.174553149520573,0.366970219304439,0.257455216389443,Full size,contigious,0.613659500579893,Yelp
8,Sufficiency,0.254668461303684,0.459841304884714,0.220365274428341,0.655606810215001,0.20373241059357,0.351029845611654,0.226377924406149,0.343092341986359,0.313019671894297,SynD,topk,0.60270573942644,Yelp
9,Comprehensiveness,0.289171893667266,0.498524054788924,0.263326219991466,0.7330600328002681,0.257506303417247,0.451068536290414,0.227195966275293,0.455889975257705,0.359208470021649,SynD,topk,0.60270573942644,Yelp
10,AOPC_sufficiency,0.229714751364755,0.331090113517426,0.205801722339266,0.444276384475594,0.198233585689666,0.28316699302752,0.195508827664558,0.282252039189447,0.267416866278955,SynD,topk,0.60270573942644,Yelp
11,AOPC_comprehensiveness,0.223281420072943,0.354748599798449,0.202083723566342,0.508606397916962,0.19928158208602,0.333414802379696,0.171312336540973,0.334994628943973,0.270499667733167,SynD,topk,0.60270573942644,Yelp
12,Sufficiency,0.254668461303684,0.459841304884714,0.220365274428341,0.655606810215001,0.20373241059357,0.351029845611654,0.226377924406149,0.343092341986359,0.313019671894297,SynD,contigious,0.60270573942644,Yelp
13,Comprehensiveness,0.289171893667266,0.498524054788924,0.263326219991466,0.7330600328002681,0.257506303417247,0.451068536290414,0.227195966275293,0.455889975257705,0.359208470021649,SynD,contigious,0.60270573942644,Yelp
14,AOPC_sufficiency,0.229714751364755,0.331090113517426,0.205801722339266,0.444276384475594,0.198233585689666,0.28316699302752,0.195508827664558,0.282252039189447,0.267416866278955,SynD,contigious,0.60270573942644,Yelp
15,AOPC_comprehensiveness,0.223281420072943,0.354748599798449,0.202083723566342,0.508606397916962,0.19928158208602,0.333414802379696,0.171312336540973,0.334994628943973,0.270499667733167,SynD,contigious,0.60270573942644,Yelp
16,Sufficiency,0.230083493993506,0.430091260771461,0.190819909877624,0.6429580647173271,0.171841851574426,0.37929612615841,0.168828709882241,0.373903140344925,0.295479671582476,AsyD1,topk,0.592138715136427,Yelp
17,Comprehensiveness,0.327273821379151,0.516754938135901,0.285612620492326,0.7515848148361851,0.293152582415438,0.513968982213979,0.252392922695268,0.522363985777217,0.425180985157641,AsyD1,topk,0.592138715136427,Yelp
18,AOPC_sufficiency,0.206386470105386,0.305830009092966,0.180158811664956,0.430761207109181,0.173413630793572,0.284524273725738,0.153068322454177,0.287196217401412,0.25080715650858,AsyD1,topk,0.592138715136427,Yelp
19,AOPC_comprehensiveness,0.246758186502291,0.360917875732594,0.222866565789224,0.511931123304873,0.220825407785225,0.372032711486873,0.18604367945714,0.375705635019997,0.309322872367899,AsyD1,topk,0.592138715136427,Yelp
20,Sufficiency,0.230083493993506,0.430091260771461,0.190819909877624,0.6429580647173271,0.171841851574426,0.37929612615841,0.168828709882241,0.373903140344925,0.295479671582476,AsyD1,contigious,0.592138715136427,Yelp
21,Comprehensiveness,0.327273821379151,0.516754938135901,0.285612620492326,0.7515848148361851,0.293152582415438,0.513968982213979,0.252392922695268,0.522363985777217,0.425180985157641,AsyD1,contigious,0.592138715136427,Yelp
22,AOPC_sufficiency,0.206386470105386,0.305830009092966,0.180158811664956,0.430761207109181,0.173413630793572,0.284524273725738,0.153068322454177,0.287196217401412,0.25080715650858,AsyD1,contigious,0.592138715136427,Yelp
23,AOPC_comprehensiveness,0.246758186502291,0.360917875732594,0.222866565789224,0.511931123304873,0.220825407785225,0.372032711486873,0.18604367945714,0.375705635019997,0.309322872367899,AsyD1,contigious,0.592138715136427,Yelp
24,Sufficiency,0.225723001488397,0.43248594336041,0.185523757018202,0.657295276475877,0.172977727529588,0.383030399575835,0.181376435789288,0.387106159261661,0.293857515858612,AsyD2,topk,0.6097370480005221,Yelp
25,Comprehensiveness,0.323153813928817,0.514900853733901,0.296932240190833,0.7529328092612421,0.284914282077417,0.511994536598763,0.249101900594915,0.5192853460775511,0.402962709907304,AsyD2,topk,0.6097370480005221,Yelp
26,AOPC_sufficiency,0.204178182112143,0.305217279748482,0.181043856349215,0.432421307242295,0.17257671687949,0.289350340828095,0.159539832207808,0.291562484725188,0.245428834239513,AsyD2,topk,0.6097370480005221,Yelp
27,AOPC_comprehensiveness,0.242501831713456,0.36353508870646,0.227463563979039,0.515423400007072,0.216903785440425,0.371299345668507,0.18200976587254,0.375269284283903,0.297692494033397,AsyD2,topk,0.6097370480005221,Yelp
28,Sufficiency,0.225723001488397,0.43248594336041,0.185523757018202,0.657295276475877,0.172977727529588,0.383030399575835,0.181376435789288,0.387106159261661,0.293857515858612,AsyD2,contigious,0.6097370480005221,Yelp
29,Comprehensiveness,0.323153813928817,0.514900853733901,0.296932240190833,0.7529328092612421,0.284914282077417,0.511994536598763,0.249101900594915,0.5192853460775511,0.402962709907304,AsyD2,contigious,0.6097370480005221,Yelp
30,AOPC_sufficiency,0.204178182112143,0.305217279748482,0.181043856349215,0.432421307242295,0.17257671687949,0.289350340828095,0.159539832207808,0.291562484725188,0.245428834239513,AsyD2,contigious,0.6097370480005221,Yelp
31,AOPC_comprehensiveness,0.242501831713456,0.36353508870646,0.227463563979039,0.515423400007072,0.216903785440425,0.371299345668507,0.18200976587254,0.375269284283903,0.297692494033397,AsyD2,contigious,0.6097370480005221,Yelp
